list-none-none,1,10,1,30,167136,5571
list-none-none,1,100,1,300,191429,638
list-none-none,1,1000,1,3000,2652682,884
list-none-none,1,10000,1,30000,248009740,8266
list-none-none,1,20000,1,60000,1003984658,16733
list-none-none,2,10,1,60,180268,3004
list-none-none,4,10,1,120,198310,1652
list-none-none,4,100,1,1200,339885,283
list-none-none,8,10,1,240,368214,1534
list-none-none,8,100,1,2400,516720,215
list-i-none,2,2,1,12,188344,15695
list-i-none,2,4,1,24,137084,5711
list-i-none,2,8,1,48,111903,2331
list-i-none,2,16,1,96,110078,1146
list-i-none,2,32,1,192,145438,757
list-i-none,4,2,1,24,199238,8301
list-i-none,4,4,1,48,209225,4358
list-i-none,4,8,1,96,223070,2323
list-i-none,4,16,1,192,237843,1238
list-i-none,8,2,1,48,480524,10010
list-i-none,8,4,1,96,311041,3240
list-i-none,8,8,1,192,390036,2031
list-i-none,8,16,1,384,339662,884
list-i-none,12,2,1,72,512840,7122
list-i-none,12,4,1,144,515289,3578
list-i-none,12,8,1,288,477112,1656
list-i-none,12,16,1,576,476890,827
list-d-none,2,4,1,24,117176,4882
list-d-none,2,16,1,96,143227,1491
list-d-none,2,32,1,192,177875,926
list-d-none,4,2,1,24,215749,8989
list-d-none,4,4,1,48,215965,4499
list-d-none,8,2,1,48,328336,6840
list-d-none,8,4,1,96,410678,4277
list-d-none,12,2,1,72,457494,6354
list-d-none,12,4,1,144,531797,3693
list-d-none,12,8,1,288,469285,1629
list-il-none,2,2,1,12,122089,10174
list-il-none,2,4,1,24,124605,5191
list-il-none,2,8,1,48,203787,4245
list-il-none,2,16,1,96,176735,1840
list-il-none,4,2,1,24,184182,7674
list-il-none,4,16,1,192,244705,1274
list-il-none,8,2,1,48,309305,6443
list-il-none,8,4,1,96,382250,3981
list-il-none,8,16,1,384,356741,929
list-il-none,12,4,1,144,477804,3318
list-il-none,12,8,1,288,484391,1681
list-il-none,12,16,1,576,549128,953
list-dl-none,2,2,1,12,121321,10110
list-dl-none,2,4,1,24,128635,5359
list-dl-none,2,8,1,48,170637,3554
list-dl-none,4,4,1,48,219514,4573
list-dl-none,4,8,1,96,259068,2698
list-dl-none,4,16,1,192,243379,1267
list-dl-none,8,2,1,48,322035,6709
list-dl-none,8,4,1,96,511755,5330
list-dl-none,8,16,1,384,381260,992
list-dl-none,12,2,1,72,500324,6948
list-dl-none,12,4,1,144,539819,3748
list-dl-none,12,16,1,576,523064,908
list-i-m,12,32,1,1152,1815236,1575
list-d-m,12,32,1,1152,2584414,2243
list-il-m,12,32,1,1152,3941114,3421
list-dl-m,12,32,1,1152,5007478,4346
list-i-s,12,32,1,1152,1337046,1160
list-d-s,12,32,1,1152,1755596,1523
list-il-s,12,32,1,1152,3845932,3338
list-dl-s,12,32,1,1152,4507770,3912
list-none-m,1,1000,1,3000,4407790,1469
list-none-m,2,1000,1,6000,19228094,3204
list-none-m,4,1000,1,12000,59820641,4985
list-none-m,8,1000,1,24000,149784370,6241
list-none-m,12,1000,1,36000,263113817,7308
list-none-m,16,1000,1,48000,376998053,7854
list-none-m,24,1000,1,72000,705594872,9799
list-none-s,1,1000,1,3000,4411793,1470
list-none-s,2,1000,1,6000,7566115,1261
list-none-s,4,1000,1,12000,45025886,3752
list-none-s,8,1000,1,24000,118273277,4928
list-none-s,12,1000,1,36000,219246491,6090
list-none-s,16,1000,1,48000,644589309,13428
list-none-s,24,1000,1,72000,1949708520,27079
